0-10,20-oct,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,Toxics commits avarage,Number of authors with toxic commits,Number of authors with toxic commits > 50%,Total commits,Total commits per day,Accumulated commits,Committers,suma,Committers Weight,classes,ncloc,functions,duplicated_lines,test_errors,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,directories,file_complexity,violations,duplicated_blocks,duplicated_files,lines,public_api,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,%Toxicos
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,4818,1,4820.333333,100,1113,163824,10522,5960,0,0,2.1,18469,15056,8.4,2.5,1688,0,12.6,4338,244,127,242472,0,39249,42,247,2691,1298,60,46372,1.7,6400,4.8,25720,1,7,4338,0,0,0.5,0.080799012,2984,0,1302,0,4250,3,1290,5,11331,267330,22,5,1
0,0,0,0,0,0,0,0,0,1,0.935904801,1,1,1,0.25,4817,1,4820.25,100,1113,163772,10520,5960,0,0,2.1,18458,15055,8.4,2.5,1688,0,12.6,4340,244,127,242418,0,39229,42,247,2691,1300,60,46353,1.7,6400,4.8,25750,1,7,4340,0,0,0.5,0.081967213,2986,0,1302,0,4250,3,1290,5,11319,263520,22,5,3
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4816,1,4819,100,1113,163772,10520,5960,0,0,2.1,18458,15055,8.4,2.5,1688,0,12.6,4340,244,127,242418,0,39229,42,247,2691,1300,60,46353,1.7,6400,4.8,25750,1,7,4340,0,0,0.5,0.081967213,2986,0,1302,0,4250,3,1290,5,11319,263520,22,5,1
0,1,0,0,0,0,0,0,0,1,0.497316539,1,1,2,2,4815,2,4822,50,1113,163772,10520,5960,0,0,2.1,18458,15055,8.4,2.5,1688,0,12.6,4340,244,127,242418,0,39229,42,247,2691,1300,60,46353,1.7,6400,4.8,25750,1,7,4340,0,0,0.5,0.081967213,2986,0,1302,0,4250,3,1290,5,11319,263520,22,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4813,0,4813,0,1113,163774,10520,5960,0,0,2.1,18458,15055,8.4,2.5,1688,0,12.6,4342,244,127,242420,0,39229,42,249,2691,1300,60,46355,1.7,6400,4.8,25760,1,7,4342,0,0,0.5,0.082041933,2988,0,1302,0,4250,3,1290,5,11319,263280,22,5,1
0,0,0,0,0,0,0,0,0,1,0.935904801,1,1,1,0.25,4813,1,4816.25,100,1111,163405,10502,5960,0,0,2.1,18397,15023,8.4,2.5,1685,0,12.6,4342,244,127,241896,0,39115,42,249,2691,1300,60,46219,1.7,6380,4.8,25759,1,7,4342,0,0,0.5,0.085674437,2988,0,1302,0,4250,3,1290,5,11283,250950,22,5,3
0,0,0,1,0,0,0,0,0,2,0.65769577,1,1,3,1,4812,2,4819,44.44444444,1111,163398,10502,5960,0,0,2.1,18397,15023,8.4,2.5,1685,0,12.6,4345,244,127,241889,0,39112,42,249,2691,1303,60,46216,1.7,6382,4.8,25759,1,7,4345,0,0,0.5,0.08632458,2988,0,1305,0,4259,3,1290,5,11283,249060,22,5,2
0,0,0,0,0,0,0,0,0,1,0.935904801,1,1,1,0.25,4809,1,4812.25,100,1111,163398,10502,5960,0,0,2.1,18397,15023,8.4,2.5,1685,0,12.6,4345,244,127,241889,0,39112,42,249,2691,1303,60,46216,1.7,6382,4.8,25759,1,7,4345,0,0,0.5,0.08632458,2988,0,1305,0,4259,3,1290,5,11283,249060,22,5,3
0,0,1,0,0,0,0,0,0,1,0.4679524,1,1,2,2,4808,2,4815,50,1111,163151,10486,5960,0,0,2.1,18359,15023,8.4,2.5,1684,0,12.6,4349,244,127,241568,0,39020,42,249,2693,1305,60,46113,1.7,6376,4.8,25752,1,7,4349,0,0,0.5,0.087091236,2988,0,1309,0,4269,3,1290,5,11237,238830,22,5,2
0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,4806,1,4811,100,1111,163151,10486,5960,0,0,2.1,18359,15023,8.4,2.5,1684,0,12.6,4349,244,127,241568,0,39020,42,249,2693,1305,60,46113,1.7,6376,4.8,25752,1,7,4349,0,0,0.5,0.087091236,2988,0,1309,0,4269,3,1290,5,11237,238830,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4804,0,4804,0,1111,163101,10486,5960,0,0,2.1,18337,15022,8.4,2.5,1684,0,12.6,4349,244,127,241516,0,38994,42,249,2693,1305,60,46070,1.7,6376,4.8,25752,1,7,4349,0,0,0.5,0.0877415,2988,0,1309,0,4269,3,1290,5,11232,237060,22,5,1
1,0,0,0,0,0,0,0,0,3,0.728667498,3,3,4,1,4804,3,4815,30,1111,163101,10486,5960,0,0,2.1,18337,15022,8.4,2.5,1684,0,12.6,4349,244,127,241516,0,38994,42,249,2693,1305,60,46070,1.7,6376,4.8,25752,1,7,4349,0,0,0.5,0.0877415,2988,0,1309,0,4269,3,1290,5,11232,237060,22,5,3
0,0,1,1,0,0,0,0,0,0,0,0,0,2,0.666666667,4800,2,4804.666667,50,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4349,244,127,241406,0,38964,42,249,2693,1305,60,46034,1.7,6376,4.8,25752,1,7,4349,0,0,0.5,0.088729631,2988,0,1309,0,4269,3,1290,5,11228,234420,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4798,0,4798,0,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4349,244,127,241406,0,38964,42,249,2693,1305,60,46034,1.7,6376,4.8,25752,1,7,4349,0,0,0.5,0.088729631,2988,0,1309,0,4269,3,1290,5,11228,234420,22,5,1
0,0,0,0,0,0,0,0,0,2,0.989382505,2,2,2,1,4798,2,4805,50,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4352,244,127,241406,0,38964,42,249,2693,1308,60,46034,1.7,6376,4.8,25746,1,7,4352,0,0,0.5,0.088729631,2991,0,1309,0,4269,3,1290,5,11228,234420,22,5,3
1,0,0,0,0,0,0,0,0,1,0.492065996,1,1,2,1,4796,2,4802,50,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4352,244,127,241406,0,38964,42,249,2693,1308,60,46034,1.7,6376,4.8,25746,1,7,4352,0,0,0.5,0.088729631,2991,0,1309,0,4269,3,1290,5,11228,234420,22,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4794,0,4794,0,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4352,244,127,241406,0,38964,42,249,2693,1308,60,46034,1.7,6376,4.8,25746,1,7,4352,0,0,0.5,0.088729631,2991,0,1309,0,4269,3,1290,5,11228,234420,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4794,0,4794,0,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4352,244,127,241406,0,38964,42,249,2693,1308,60,46034,1.7,6376,4.8,25746,1,7,4352,0,0,0.5,0.088729631,2991,0,1309,0,4269,3,1290,5,11228,234420,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4794,0,4794,0,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4352,244,127,241406,0,38964,42,249,2693,1308,60,46034,1.7,6376,4.8,25746,1,7,4352,0,0,0.5,0.088729631,2991,0,1309,0,4269,3,1290,5,11228,234420,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4794,0,4794,0,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4352,244,127,241406,0,38964,42,249,2693,1308,60,46034,1.7,6376,4.8,25746,1,7,4352,0,0,0.5,0.088729631,2991,0,1309,0,4269,3,1290,5,11228,234420,22,5,1
1,0,0,0,0,0,0,0,0,1,0.492065996,1,1,2,0.666666667,4794,2,4799.666667,50,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4352,244,127,241406,0,38964,42,249,2693,1308,60,46034,1.7,6376,4.8,25746,1,7,4352,0,0,0.5,0.088729631,2991,0,1309,0,4269,3,1290,5,11228,234420,22,5,2
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,4792,1,4794.2,100,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4352,244,127,241406,0,38964,42,249,2693,1308,60,46034,1.7,6376,4.8,25746,1,7,4352,0,0,0.5,0.088729631,2991,0,1309,0,4269,3,1290,5,11228,234420,22,5,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,4791,1,4793.5,100,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4352,244,127,241406,0,38964,42,249,2693,1308,60,46034,1.7,6376,4.8,25746,1,7,4352,0,0,0.5,0.088752347,2991,0,1309,0,4269,3,1290,5,11228,234360,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4790,0,4790,0,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4352,244,127,241406,0,38964,42,249,2693,1308,60,46034,1.7,6376,4.8,25746,1,7,4352,0,0,0.5,0.088752347,2991,0,1309,0,4269,3,1290,5,11228,234360,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4790,0,4790,0,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4352,244,127,241406,0,38964,42,249,2693,1308,60,46034,1.7,6376,4.8,25746,1,7,4352,0,0,0.5,0.088752347,2991,0,1309,0,4269,3,1290,5,11228,234360,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4790,0,4790,0,1110,163026,10483,5960,0,0,2.1,18327,15020,8.4,2.5,1683,0,12.6,4355,244,127,241406,0,38964,44,249,2694,1308,60,46034,1.7,6376,4.8,26016,1,5,4355,0,0,0.5,0.20395972,2992,0,1309,0,4269,3,1350,5,11228,234360,22,5,1
0,0,0,1,0,0,2,0,2,1,0.651444316,4,4,6,1,4790,4,4805,22.22222222,1108,162964,10478,6008,0,0,2.1,18314,15017,8.4,2.5,1681,0,12.6,4357,249,128,241297,0,38939,42,250,2696,1309,60,46006,1.7,6362,4.8,25839,1,5,4357,0,0,0.5,0.08983329,2996,0,1309,0,4269,3,1290,5,11213,231540,21,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4784,0,4784,0,1108,162974,10482,6008,0,0,2.1,18323,15018,8.4,2.5,1681,0,12.6,4363,249,128,241310,0,38942,42,253,2697,1311,60,46008,1.7,6368,4.8,25890,1,5,4363,0,0,0.5,0.090726686,3002,0,1309,0,4269,3,1290,5,11215,229260,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4784,0,4784,0,1108,162974,10482,6008,0,0,2.1,18323,15018,8.4,2.5,1681,0,12.6,4364,249,128,241310,0,38942,42,254,2698,1310,60,46008,1.7,6368,4.8,25900,1,5,4364,0,0,0.5,0.090726686,3003,0,1309,0,4269,3,1290,5,11215,229260,21,5,1
0,0,0,0,0,0,0,0,2,1,0.880456924,2,2,3,0.6,4784,2,4791.6,44.44444444,1108,162978,10482,6008,0,0,0,18326,15018,8.4,2.5,1681,0,12.6,4364,249,128,241314,0,38951,42,254,2698,1310,60,46468,0,0,0,25900,1,5,4364,0,0,0.5,0.090845563,3003,0,1309,0,4269,3,1290,5,11221,228960,21,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4781,0,4781,0,1108,162978,10482,6008,0,0,0,18326,15018,8.4,2.5,1681,0,12.6,4364,249,128,241314,0,38951,42,254,2698,1310,60,46468,0,0,0,25900,1,5,4364,0,0,0.5,0.090845563,3003,0,1309,0,4269,3,1290,5,11221,228960,21,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4781,0,4781,0,1108,162978,10482,6008,0,0,0,18326,15018,8.4,2.5,1681,0,12.6,4368,249,128,241314,0,38951,42,254,2698,1314,60,46468,0,0,0,25940,1,5,4368,0,0,0.5,0.090845563,3007,0,1309,0,4269,3,1290,5,11221,228960,21,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4781,0,4781,0,1108,162978,10482,6008,0,0,0,18326,15018,8.4,2.5,1681,0,12.6,4368,249,128,241314,0,38951,42,254,2698,1314,60,46468,0,0,0,25940,1,5,4368,0,0,0.5,0.090845563,3007,0,1309,0,4269,3,1290,5,11221,228960,21,5,1
0,0,0,0,0,0,0,0,0,1,0.984131992,1,1,1,1,4781,1,4785,100,1108,162978,10482,6008,0,0,0,18326,15018,8.4,2.5,1681,0,12.6,4368,249,128,241314,0,38951,42,254,2698,1314,60,46468,0,0,0,25940,1,5,4368,0,0,0.5,0.090845563,3007,0,1309,0,4269,3,1290,5,11221,228960,21,5,3
0,0,0,0,0,0,0,1,2,0,0.819042524,2,2,3,0.5,4780,2,4787.5,44.44444444,1108,162978,10482,6008,0,0,0,18326,15018,8.4,2.5,1681,0,12.6,4368,249,128,241314,0,38951,42,254,2698,1314,60,46468,0,0,0,25940,1,5,4368,0,0,0.5,0.090857467,3007,0,1309,0,4269,3,1290,5,11221,228930,21,5,3
0,0,0,0,1,0,0,0,0,1,0.498419642,1,1,2,2,4777,1,4783,100,1108,162975,10482,6008,0,0,0,18325,15017,8.4,2.5,1681,0,12.6,4368,249,128,241309,0,38949,42,254,2698,1314,60,46466,0,0,0,25940,1,5,4368,0,0,0.5,0.090988626,3007,0,1309,0,4269,3,1290,5,11219,228600,21,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4775,0,4775,0,1108,162975,10482,6008,0,0,0,18325,15017,8.4,2.5,1681,0,12.6,4368,249,128,241309,0,38949,42,254,2698,1314,60,46466,0,0,0,25940,1,5,4368,0,0,0.5,0.090988626,3007,0,1309,0,4269,3,1290,5,11219,228600,21,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4775,0,4775,0,1108,162975,10482,6008,0,0,0,18325,15017,8.4,2.5,1681,0,12.6,4368,249,128,241309,0,38949,42,254,2698,1314,60,46466,0,0,0,25940,1,5,4368,0,0,0.5,0.090988626,3007,0,1309,0,4269,3,1290,5,11219,228600,21,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4775,0,4775,0,1108,162975,10482,6008,0,0,0,18325,15017,8.4,2.5,1681,0,12.6,4368,249,128,241309,0,38949,42,254,2698,1314,60,46466,0,0,0,25940,1,5,4368,0,0,0.5,0.090988626,3007,0,1309,0,4269,3,1290,5,11219,228600,21,5,1
0,0,0,0,0,0,0,0,1,2,0.916218758,2,2,3,1.5,4775,2,4783.5,44.44444444,1108,162948,10482,6008,0,0,0,18325,15017,8.4,2.5,1680,0,12.6,4368,249,128,241281,0,38949,42,254,2698,1314,60,46466,0,0,0,25940,1,5,4368,0,0,0.5,0.091360302,3007,0,1309,0,4269,3,1290,5,11219,227670,21,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4772,0,4772,0,1104,162802,10478,6045,0,0,0,18346,15115,8.5,2.5,1676,0,12.6,4461,253,131,241212,0,38989,42,265,2714,1365,75,46441,0,0,0,26939,1,5,4461,0,0,0.6,0.106633856,3099,0,1310,0,4269,3,1290,5,11258,195060,24,5,1
0,2,0,0,0,0,0,0,0,1,0.327816089,1,1,3,3,4772,3,4782,33.33333333,1104,162792,10478,6045,0,0,0,18343,15115,8.5,2.5,1676,0,12.6,4464,253,131,241202,0,38982,42,265,2717,1365,75,46434,0,0,0,26939,1,5,4464,0,0,0.6,0.10679811,3099,0,1313,0,4314,3,1290,5,11249,194760,24,5,1
2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,4769,2,4773.5,50,1104,162792,10478,6045,0,0,0,18343,15115,8.5,2.5,1676,0,12.6,4461,253,131,241202,0,38982,42,265,2714,1365,75,46434,0,0,0,26939,1,5,4461,0,0,0.6,0.10679811,3099,0,1310,0,4269,3,1290,5,11249,194760,21,5,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,4767,1,4769.25,100,1104,162792,10478,6045,0,0,0,18343,15115,8.5,2.5,1676,0,12.6,4461,253,131,241202,0,38982,42,265,2714,1365,75,46434,0,0,0,26939,1,5,4461,0,0,0.6,0.10679811,3099,0,1310,0,4269,3,1290,5,11249,194760,21,5,1
2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.666666667,4766,2,4770.666667,50,1104,162792,10478,6045,0,0,0,18343,15115,8.5,2.5,1676,0,12.6,4461,253,131,241202,0,38982,42,265,2714,1365,75,46434,0,0,0,26939,1,5,4461,0,0,0.6,0.10679811,3099,0,1310,0,4269,3,1290,5,11249,194760,21,5,1
0,0,0,1,0,0,0,0,1,1,0.607104659,2,2,3,0.75,4764,3,4772.75,33.33333333,1103,162733,10471,6045,0,0,0,18331,15131,8.5,2.5,1675,0,12.6,4461,253,131,241092,0,38968,42,265,2714,1365,75,46413,0,0,0,26939,1,5,4461,0,0,0.6,0.108181204,3099,0,1310,0,4269,3,1290,5,11244,192270,21,5,2
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,4761,1,4763.333333,100,1103,162733,10471,6045,0,0,0,18331,15131,8.5,2.5,1675,0,12.6,4461,253,131,241092,0,38968,42,265,2714,1365,75,46413,0,0,0,26939,1,5,4461,0,0,0.6,0.108181204,3099,0,1310,0,4269,3,1290,5,11244,192270,21,5,1
1,1,1,0,1,0,0,0,1,2,0.391835519,3,3,7,0.538461538,4760,4,4774.538462,17.58241758,1103,162733,10471,6045,0,0,0,18331,15131,8.5,2.5,1675,0,12.6,4461,253,131,241092,0,38968,42,265,2714,1365,75,46413,0,0,0,26939,1,5,4461,0,0,0.6,0.108181204,3099,0,1310,0,4269,3,1290,5,11244,192270,21,5,2
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.125,4753,1,4755.125,100,1100,162492,10430,6045,0,0,0,18296,15134,8.5,2.5,1675,0,12.6,4507,253,131,240809,0,38886,42,269,2749,1373,74,46322,0,0,0,27139,1,5,4507,0,0,0.6,0.156444143,3126,0,1326,0,4314,3,1350,5,11268,177060,21,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4752,0,4752,0,1100,162492,10430,6045,0,0,0,18296,15134,8.5,2.5,1675,0,12.6,4507,253,131,240809,0,38886,42,269,2749,1373,74,46322,0,0,0,27139,1,5,4507,0,0,0.6,0.156444143,3126,0,1326,0,4314,3,1350,5,11268,177060,21,5,1
0,0,0,0,0,0,0,0,2,0,0.894910872,1,1,2,1,4752,1,4757,100,1100,162492,10430,6045,0,0,0,18296,15134,8.5,2.5,1675,0,12.6,4507,253,131,240809,0,38886,42,269,2749,1373,74,46322,0,0,0,27139,1,5,4507,0,0,0.6,0.156444143,3126,0,1326,0,4314,3,1350,5,11268,177060,21,5,3
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4750,1,4753,100,1100,162474,10431,6045,0,0,0,18301,15138,8.5,2.5,1675,0,12.6,4559,253,131,240787,0,38890,43,278,2763,1401,74,46322,0,0,0,27579,1,5,4559,0,0,0.6,0.206453851,3166,0,1337,0,4418,3,1380,5,11274,172920,21,5,1
0,0,0,0,0,0,0,0,0,1,0.984131992,1,1,1,0.25,4749,1,4752.25,100,1100,162474,10431,6045,0,0,0,18301,15138,8.5,2.5,1675,0,12.6,4559,253,131,240771,0,38890,43,278,2763,1401,74,46322,0,0,0,27579,1,5,4559,0,0,0.6,0.207317073,3166,0,1337,0,4418,3,1380,5,11274,172200,21,5,3
6,0,2,1,0,0,0,0,1,1,0.166450912,2,2,11,0.34375,4748,3,4764.34375,27.27272727,784,108170,4872,6015,0,0,0,8385,7845,6.8,2.5,1675,0,5.8,3885,251,130,240899,0,13986,12,171,2638,1029,35,15149,0,0,0,20248,1,5,3885,0,0,0.6,0,2536,0,1342,0,4378,3,110,2,3607,62640,5,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4737,0,4737,0,784,108170,4872,6015,0,0,0,8385,7845,6.8,2.5,1675,0,5.8,3885,251,130,240899,0,13986,12,171,2638,1029,35,15149,0,0,0,20248,1,5,3885,0,0,0.6,0,2536,0,1342,0,4378,3,110,2,3607,62640,5,5,1
0,0,0,0,0,0,0,0,0,1,0.983448267,1,1,1,0.333333333,4737,1,4740.333333,100,784,108170,4872,6015,0,0,0,8385,7845,6.8,2.5,1675,0,5.8,3885,251,130,240899,0,13986,12,171,2638,1029,35,15149,0,0,0,20248,1,5,3885,0,0,0.6,0,2536,0,1342,0,4378,3,110,2,3607,62640,5,5,3
0,0,0,0,0,0,0,0,0,3,0.965884844,2,2,3,0.214285714,4736,2,4743.214286,44.44444444,783,108122,4863,6015,0,0,0,8376,7845,6.8,2.5,1674,0,5.8,3897,251,130,240759,0,13974,12,171,2646,1033,35,15137,0,0,0,20272,1,8,3897,0,0,0.6,0,2544,0,1346,0,4390,3,110,2,3607,61080,5,5,3
0,0,0,0,0,1,0,0,0,0,0.563736856,1,1,1,0.333333333,4733,1,4736.333333,100,783,108122,4863,6015,0,0,0,8376,7845,6.8,2.5,1674,0,5.8,3897,251,130,240759,0,13974,12,171,2646,1033,35,15137,0,0,0,20272,1,8,3897,0,0,0.6,0,2544,0,1346,0,4390,3,110,2,3607,61080,5,5,3
0,0,0,0,0,0,0,0,0,1,0.987382829,1,1,1,1,4732,1,4736,100,783,108122,4863,6015,0,0,0,8376,7845,6.8,2.5,1674,0,5.8,3897,251,130,240759,0,13974,12,171,2646,1033,35,15137,0,0,0,20272,1,8,3897,0,0,0.6,0,2544,0,1346,0,4390,3,110,2,3607,61080,5,5,3
0,0,0,0,0,0,0,0,0,1,0.98143667,1,1,1,1,4731,1,4735,100,783,108116,4863,6015,0,0,0,8376,7845,6.8,2.5,1674,0,5.8,3938,251,130,240753,0,13974,53,171,2646,1033,35,15137,0,0,0,20272,1,8,3938,0,0,0.6,0,2544,0,1346,0,4390,3,1340,5,3607,60450,5,5,3
1,0,0,0,0,0,0,0,1,1,0.58817474,2,2,3,0.1875,4730,3,4738.1875,33.33333333,783,108116,4863,6015,0,0,0,8376,7845,6.8,2.5,1674,0,5.8,3905,251,130,240729,0,13974,12,171,2646,1033,43,15137,0,0,0,20288,1,8,3905,0,0,0.6,0.055423595,2552,0,1346,0,4390,3,110,2,3607,138930,5,1,2
0,0,0,0,0,1,0,0,0,2,0.822325945,2,2,3,0.75,4727,2,4734.75,44.44444444,783,108116,4863,6015,0,0,0,8376,7845,6.8,2.5,1674,0,5.8,3905,251,130,240729,0,13974,12,171,2646,1033,43,15137,0,0,0,20288,1,8,3905,0,0,0.6,0.055423595,2552,0,1346,0,4390,3,110,2,3607,138930,5,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4724,0,4724,0,783,108116,4863,6015,0,0,0,8376,7845,6.8,2.5,1674,0,5.8,3905,251,130,240729,0,13974,12,171,2646,1033,43,15137,0,0,0,20288,1,8,3905,0,0,0.6,0.055423595,2552,0,1346,0,4390,3,110,2,3607,138930,5,1,1
5,0,0,0,0,0,0,0,0,3,0.357906103,1,1,8,0.666666667,4724,3,4736.666667,17.30769231,784,108329,4910,6112,0,0,0,8420,7893,6.8,2.5,1674,0,5.8,3915,262,130,240813,0,14034,12,177,2649,1034,43,15247,0,0,0,20445,1,8,3915,0,0,0.6,0.058320079,2559,0,1349,0,4410,3,110,2,3604,132030,1,1,2
0,0,0,0,0,0,0,0,2,0,0.828619421,1,1,2,0.666666667,4716,1,4720.666667,100,783,108284,4901,6118,0,0,0,8409,7881,6.8,2.5,1673,0,5.8,3918,262,130,240688,0,14020,12,177,2652,1034,43,15227,0,0,0,20450,1,8,3918,0,0,0.6,0.059787251,2560,0,1351,0,4410,3,110,2,3604,128790,1,1,3
1,0,0,0,0,0,0,1,0,2,0.681748986,2,2,4,0.8,4714,3,4723.8,30,781,108336,4891,6118,0,0,0,8400,7874,6.8,2.5,1670,0,5.8,3933,262,130,240535,0,14014,12,180,2659,1039,43,15209,0,0,0,20536,1,8,3933,0,0,0.6,0.062222222,2571,0,1355,0,4420,3,110,2,3609,123750,1,1,3
0,1,0,0,0,1,0,0,1,0,0.451987505,2,2,3,3,4710,2,4720,44.44444444,781,108336,4891,6118,0,0,0,8400,7874,6.8,2.5,1670,0,5.8,3933,262,130,240535,0,14014,12,180,2659,1039,43,15209,0,0,0,20536,1,8,3933,0,0,0.6,0.062222222,2571,0,1355,0,4420,3,110,2,3609,123750,1,1,2
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.125,4707,1,4709.125,100,781,108336,4891,6118,0,0,0,8400,7874,6.8,2.5,1670,0,5.8,3921,262,130,240535,0,14014,12,180,2647,1039,43,15209,0,0,0,20416,1,8,3921,0,0,0.6,0.062222222,2559,0,1355,0,4420,3,110,2,3609,123750,1,1,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.25,4706,1,4708.25,100,781,108336,4891,6118,0,0,0,8400,7874,6.8,2.5,1670,0,5.8,3921,262,130,240535,0,14014,12,180,2647,1039,43,15209,0,0,0,20416,1,8,3921,0,0,0.6,0.062222222,2559,0,1355,0,4420,3,110,2,3609,123750,1,1,1
0,0,0,0,0,0,0,0,1,0,0.828619421,1,1,1,0.5,4705,1,4708.5,100,781,108336,4891,6118,0,0,0,8400,7874,6.8,2.5,1670,0,5.8,3921,262,130,240535,0,14014,12,180,2647,1039,43,15209,0,0,0,20416,1,8,3921,0,0,0.6,0.062222222,2559,0,1355,0,4420,3,110,2,3609,123750,1,1,3
1,1,0,0,0,0,0,0,0,2,0.471688837,2,2,4,0.666666667,4704,4,4714.666667,25,781,108346,4891,6118,0,0,0,8400,7874,6.8,2.5,1670,0,5.8,3924,262,130,240543,0,14014,12,180,2650,1039,43,15209,0,0,0,20416,1,8,3924,0,0,0.6,0.062693372,2559,0,1358,0,4420,3,110,2,3609,122820,1,1,2
2,0,0,0,0,0,1,0,1,0,0.386478901,1,1,4,0.666666667,4700,1,4706.666667,100,1095,162411,10387,6118,0,0,0,18206,15108,8.5,2.5,1671,0,12.6,4735,262,130,240502,0,38856,19,365,2771,1506,74,46378,0,0,0,30011,1,11,4735,0,0,0.6,0.030449211,3347,0,1358,0,4420,3,610,5,11248,292290,18,1,2
1,0,0,0,0,0,0,0,1,0,0.41430971,1,1,2,0.285714286,4696,2,4701.285714,50,1095,162411,10387,6118,0,0,0,18206,15108,8.5,2.5,1671,0,12.6,4738,262,130,240502,0,38856,19,367,2772,1506,74,46378,0,0,0,30036,1,11,4738,0,0,0.6,0.030449211,3350,0,1358,0,4420,3,610,5,11248,292290,18,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4694,0,4694,0,1095,162411,10387,6118,0,0,0,18206,15108,8.5,2.5,1671,0,12.6,4738,262,130,240502,0,38856,19,367,2772,1506,74,46378,0,0,0,30036,1,11,4738,0,0,0.6,0.030449211,3350,0,1358,0,4420,3,610,5,11248,292290,18,1,1
3,0,0,0,1,0,0,0,0,1,0.18718096,1,1,5,1.25,4694,4,4705.25,22.85714286,1082,160139,10180,6052,0,0,0,17799,14814,8.5,2.6,1661,0,12.4,4786,257,128,237266,0,38130,19,379,2780,1534,74,45446,0,0,0,30882,1,9,4786,0,0,0.6,0.068933824,3392,0,1364,0,4421,3,610,5,11048,195840,18,1,1
