0-10,20-oct,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,Toxics commits avarage,Number of authors with toxic commits,Number of authors with toxic commits > 50%,Total commits,Total commits per day,Accumulated commits,Committers,suma,Committers Weight,classes,ncloc,functions,duplicated_lines,test_errors,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,directories,file_complexity,violations,duplicated_blocks,duplicated_files,lines,public_api,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,%Toxicos
209,192,50,35,41,28,23,75,35,57,0.231915529,18,18,745,3.941798942,47406,26,48198.9418,0.546748632,8760,753925,77215,106026,0,192,26.5,131795,130072,14.7,7.9,8265,0,17.6,56772,4323,1038,1337486,0,268167,760,4322,13009,24123,14558,324837,26.1,81226,28,360274,1,0,56772,0,0,1.6,0.802603037,53252,0,2721,0,20981,5,12882,5,83262,13830,369,5,1
532,493,95,93,62,86,47,152,93,125,0.220271245,22,22,1778,6.047619048,46661,29,48496.04762,0.232471361,8653,743145,75919,107810,0,191,26.2,129672,129400,14.8,8.2,8160,0,17.5,44437,4351,1027,1320642,0,264867,772,4289,12786,25862,728,320302,25.8,80079,27.8,375958,1,0,44437,0,0,1.7,0.606375606,40961,0,2657,0,20291,5,13115,5,82219,28860,286,1,1
290,129,73,44,39,32,32,67,44,78,0.242900775,14,14,828,5.830985915,44883,18,45748.83099,0.65770756,7799,626300,62368,60295,0,214,28.9,105626,111712,15.1,5.2,7726,0,15.1,39913,2810,973,1150350,0,218101,727,4107,11492,22892,695,265134,29.4,76824,27.4,329756,1,1,39913,0,0,1.8,0.609615827,36266,0,2600,0,18724,5,16530,5,66577,43470,405,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44055,0,44055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,26,15,20,13,15,17,20,37,172,0.607921769,22,22,385,0.736137667,2082,32,2521.736138,0.415934212,476,234387,5827,56112,0,0,66.7,15600,13159,5.3,19.7,550,0,30.5,10411,1423,116,285342,0,52164,39,3258,4052,3001,61,42967,66.7,0,0,102992,1,0,10411,0,0,1.5,2.50926718,10334,0,77,0,1002,5,0,1,17017,35070,43,5,3
8,4,0,2,2,4,1,1,4,2,0.318848508,4,4,28,1.555555556,33494,5,33532.55556,9.301659989,611,96588,7513,135,0,0,84.6,16064,15350,13.7,0.1,1022,0,19.1,1863,6,3,138027,0,127098,0,1419,358,13,73,43721,84.8,160,28.1,24670,1,120,1851,12,0,0.9,0.938215103,1863,0,0,0,0,1,0,1,12295,26220,0,1,2
1,3,0,1,0,1,0,1,4,0,0.425097205,2,2,11,11,33466,2,33492,29.75206612,611,96886,7552,135,0,0,84.4,16128,15410,13.7,0.1,1022,0,19.2,1867,6,3,138408,0,127191,0,1420,359,15,73,43860,84.6,160,28.1,24711,1,120,1855,12,0,0.9,1.065117405,1867,0,0,0,0,1,0,1,12304,41310,0,1,2
88,30,13,11,14,10,14,19,35,36,0.344705907,7,7,270,3.176470588,33455,9,33744.17647,1.874811193,611,96844,7544,135,0,0,84.5,16120,15400,13.7,0.1,1022,0,19.1,1869,6,3,138357,0,127180,0,1421,359,15,74,43838,84.7,160,28.1,24726,1,120,1857,12,0,0.9,0.787503227,1869,0,0,0,0,1,0,1,12304,38730,0,1,2
275,67,41,34,36,28,37,34,68,109,0.312310218,7,7,729,6.813084112,33185,7,33934.81308,1.808458128,596,95596,7450,204,0,0,83.8,16000,15016,13.6,0.1,1007,0,19.3,1929,11,7,136188,0,125644,0,1414,427,11,77,42888,83.9,110,22.7,25142,1,124,1917,12,0,0.9,0.709623079,1929,0,0,0,0,1,0,1,12272,47490,0,1,2
270,65,39,25,29,29,42,31,92,132,0.361552069,10,10,754,7.32038835,32456,12,33239.32039,0.53832036,566,92419,7087,236,0,0,82.2,15457,14345,13.4,0.2,973,0,19.4,2309,12,5,131258,0,105788,2,1465,743,11,88,41616,82.3,110,22.7,28692,1,128,2296,13,0,1,2.425287356,2309,0,0,0,0,1,0,1,12244,130500,0,1,2
2,3,2,3,1,1,1,2,0,2,0.273341684,3,3,17,17,31702,3,31742,33.08823529,562,93134,7123,328,0,0,81.7,15701,14556,13.5,0.2,1000,0,19.3,2488,19,8,132784,0,103791,2,1624,754,13,95,41853,81.8,110,22.7,30898,1,131,2462,26,0,1.1,0.960611405,2488,0,0,0,0,1,0,1,12461,85050,0,1,2
411,105,68,62,62,76,63,62,142,205,0.355747053,14,14,1256,3.96214511,31685,18,32976.96215,0.188027519,562,93134,7123,328,0,0,81.7,15701,14556,13.5,0.2,1000,0,19.3,2488,19,8,132784,0,103791,2,1624,754,13,95,41853,81.8,110,22.7,30898,1,131,2462,26,0,1.1,0.960611405,2488,0,0,0,0,1,0,1,12461,85050,0,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30429,0,30429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4847,0,4847,0,1114,164078,10530,5960,0,0,2.1,18505,15088,8.4,2.5,1689,0,12.6,4331,244,127,242817,0,39312,42,247,2687,1295,60,46475,1.7,6418,4.8,25705,1,7,4331,0,0,0.5,0.079373442,2980,0,1299,0,4244,3,1290,5,11356,284730,22,5,1
